id,name,released,metacritic,rating,ratings_count,genres,steam_id,steam_appid,tags,has_great_soundtrack,positive,negative,owners
3328,The Witcher 3: Wild Hunt,2015-05-18,92.0,4.64,7088,"Action, RPG",292030,292030,"['Open World', 'RPG', 'Story Rich', 'Atmospheric', 'Mature', 'Fantasy', 'Adventure', 'Singleplayer', 'Nudity', 'Choices Matter', 'Great Soundtrack', 'Third Person', 'Medieval', 'Action', 'Multiple Endings', 'Action RPG', 'Dark Fantasy', 'Magic', 'Dark', 'Sandbox']",True,802993,32356,"20,000,000 .. 50,000,000"
28,Red Dead Redemption 2,2018-10-26,96.0,4.59,5399,Action,1174180,1174180,"['Open World', 'Story Rich', 'Western', 'Adventure', 'Multiplayer', 'Action', 'Realistic', 'Singleplayer', 'Shooter', 'Atmospheric', 'Horses', 'Beautiful', 'Mature', 'Third-Person Shooter', 'Great Soundtrack', 'Third Person', 'Gore', 'Sandbox', 'First-Person', 'FPS']",True,676667,56875,"10,000,000 .. 20,000,000"
3439,Life is Strange,2015-01-29,83.0,4.12,3750,Adventure,1265920,1265920,"['Choices Matter', 'Story Rich', 'Female Protagonist', 'LGBTQ+', 'Multiple Endings', 'Romance', 'Emotional', 'Third Person', 'Drama', 'Adventure', 'Mystery', 'Action', 'Cinematic', 'Stylized', 'Singleplayer', 'Supernatural', 'Narrative', 'Mature', 'Great Soundtrack', 'Sexual Content']",True,5345,655,"200,000 .. 500,000"
32,Destiny 2,2017-09-06,82.0,3.52,2659,"Shooter, Action",1085660,1085660,"['Free to Play', 'Open World', 'Multiplayer', 'Looter Shooter', 'MMORPG', 'FPS', 'Co-op', 'PvE', 'PvP', 'Shooter', 'Massively Multiplayer', 'Loot', 'First-Person', 'Sci-fi', 'Action', 'Adventure', 'Lore-Rich', 'Space', 'Competitive', 'Atmospheric']",False,497891,127725,"20,000,000 .. 50,000,000"
58175,God of War (2018),2018-04-20,94.0,4.55,5080,Action,1593500,1593500,"['Action', 'Singleplayer', 'Story Rich', 'Mythology', 'Adventure', 'Combat', 'Third Person', 'RPG', 'Hack and Slash', 'Violent', 'Open World', 'Fantasy', 'Exploration', 'Atmospheric', 'Action RPG', 'Gore', 'Souls-like', 'Emotional', '3D', 'PvE']",False,151706,6311,"5,000,000 .. 10,000,000"
3070,Fallout 4,2015-11-09,84.0,3.81,3395,"Action, RPG",377160,377160,"['Open World', 'Post-apocalyptic', 'Singleplayer', 'Exploration', 'RPG', 'Adventure', 'Atmospheric', 'Shooter', 'First-Person', 'Story Rich', 'Action', 'Sci-fi', 'FPS', 'Action RPG', 'Sandbox', 'Great Soundtrack', 'Survival', 'Third Person', 'Third-Person Shooter', 'Character Customization']",True,326054,66233,"10,000,000 .. 20,000,000"
41494,Cyberpunk 2077,2020-12-10,73.0,4.22,2929,"Shooter, Action, RPG",1091500,1091500,"['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer', 'Sci-fi', 'FPS', 'Story Rich', 'Mature', 'Futuristic', 'First-Person', 'Atmospheric', 'Exploration', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Character Customization', 'Immersive Sim']",True,713071,131850,"20,000,000 .. 50,000,000"
278,Horizon Zero Dawn,2017-02-28,89.0,4.28,3757,"Action, RPG",2561580,2561580,"['Action-Adventure', 'Female Protagonist', 'Third Person', 'Open World', 'Post-apocalyptic', 'Mechs', 'Action', 'Story Rich', 'Sci-fi', 'Stealth', 'Artificial Intelligence', 'Emotional', 'Nature', 'Adventure', 'Crafting', 'Futuristic', 'Combat', 'Singleplayer', 'RPG', 'LGBTQ+']",False,2760,643,"50,000 .. 100,000"
7689,Rise of the Tomb Raider,2015-11-10,86.0,4.04,2778,Action,391220,391220,"['Adventure', 'Action', 'Female Protagonist', 'Singleplayer', 'Third Person', 'Exploration', 'Open World', 'Action-Adventure', 'Story Rich', 'Survival', 'Puzzle', 'Stealth', 'Atmospheric', 'Third-Person Shooter', 'Parkour', 'Shooter', 'RPG', 'Multiplayer', 'Great Soundtrack', 'Quick-Time Events']",True,128080,8100,"2,000,000 .. 5,000,000"
7689,Rise of the Tomb Raider,2015-11-10,86.0,4.04,2778,Action,391220,391220,"['Adventure', 'Action', 'Female Protagonist', 'Singleplayer', 'Third Person', 'Exploration', 'Open World', 'Action-Adventure', 'Story Rich', 'Survival', 'Puzzle', 'Stealth', 'Atmospheric', 'Third-Person Shooter', 'Parkour', 'Shooter', 'RPG', 'Multiplayer', 'Great Soundtrack', 'Quick-Time Events']",True,128080,8100,"2,000,000 .. 5,000,000"
